Brand,Model_name,Model_colour,RAM(GB),ROM(GB),Display,Processor,Current_price,Original_price,Discount(%),Rating
OPPO,OPPO A53 ,Fancy Blue,6,128,16.51 cm (6.5 inch) HD+ Display,Qualcomm Snapdragon 460 Processor,15490,17990,13,4.3
Infinix,Infinix Hot 9 Pro ,Violet,4,64,16.76 cm (6.6 inch) HD+ Display,MediaTek Helio P22 (64 bit) Processor,10499,12999,19,4.4
Infinix,Infinix Hot 9 Pro ,Quetzal Cyan,4,64,16.76 cm (6.6 inch) HD+ Display,MediaTek Helio P22 (64 bit) Processor,10499,12999,19,4.4
Infinix,Infinix Hot 9 Pro ,Ocean Wave,4,64,16.76 cm (6.6 inch) HD+ Display,MediaTek Helio P22 (64 bit) Processor,10499,12999,19,4.4
Motorola,Motorola G9 ,Sapphire Blue,4,64,16.51 cm (6.5 inch) HD+ Display,Qualcomm Snapdragon 662 Processor,10999,14999,26,4.2
OPPO,OPPO F15 ,Lightening Black,4,128,16.26 cm (6.4 inch) Full HD+ Display,MediaTek Helio P70 Processor,15990,20990,23,4.4
OPPO,OPPO F15 ,Blazing Blue,8,128,In-Display Fingerprint 3.0 with 0.32 Second Unlock,MediaTek Helio P70 Processor,18990,22990,17,4.4
OPPO,OPPO F15 ,Blazing Blue,4,128,16.26 cm (6.4 inch) Full HD+ Display,MediaTek Helio P70 Processor,15990,20990,23,4.4
OPPO,OPPO F15 ,Unicorn White,4,128,16.26 cm (6.4 inch) Full HD+ Display,MediaTek Helio P70 Processor,15990,20990,23,4.4
Realme,Realme 7 Pro ,Mirror Silver,8,128,Super AMOLED Display,Qualcomm Snapdragon 720G Processor,21999,22999,4,4.4
Realme,Realme X3 ,Glacier Blue,8,128,120 Hz Smooth Display,Qualcomm Snapdragon 855+ Processor,22999,27999,17,4.4
Realme,Realme X3 ,Arctic White,8,128,120 Hz Smooth Display,Qualcomm Snapdragon 855+ Processor,22999,27999,17,4.4
Vivo,Vivo Y12 ,Burgundy Red,3,64,16.13 cm (6.35 inch) HD+ Display,MediaTek Helio P22 Processor,10990,13990,21,4.3
POCO,POCO X2 ,Phoenix Red,6,64,16.94 cm (6.67 inch) Full HD+ Display,Qualcomm Snapdragon 730G Processor,14999,18999,21,4.5
Redmi,Redmi Note 9 Pro ,Interstellar Black,4,64,16.94 cm (6.67 inch) Full HD+ Display,Qualcomm® Snapdragon™ 720G Processor,13467,13467,0,4.4
Vivo,Vivo V20 Pro ,Midnight Jazz,8,128,16.36 cm (6.44 inch) Full HD+ Display,Qualcomm Snapdragon 765G Processor,29990,34990,14,4.4
Redmi,Redmi Note 8 ,Neptune Blue,4,64,16.0 cm (6.3 inch) Full HD+ Display,Qualcomm Snapdragon 665 Processor,13999,13999,0,4.4
Redmi,Redmi 9 ,Carbon Black,4,64,16.59 cm (6.53 inch) HD+ Display,MediaTek Helio G35 Processor,9929,9929,0,4.2
Vivo,Vivo Y11 ,Mineral Blue,3,32,16.13 cm (6.35 inch) HD+ Display,SDM439 Processor,9990,9990,0,4.3
Vivo,Vivo Y11 ,Agate Red,3,32,16.13 cm (6.35 inch) HD+ Display,SDM439 Processor,9990,9990,0,4.3
Vivo,Vivo Y12 ,Aqua Blue,3,64,16.13 cm (6.35 inch) HD+ Display,MediaTek Helio P22 Processor,10990,13990,21,4.3
Tecno,Tecno Camon 15 ,Dark Jade,4,64,16.64 cm (6.55 inch) HD+ Display,Helio P22 MT6762 Processor,10499,12499,16,4.2
Vivo,Vivo Y51 ,Crystal Symphony,8,128,16.71 cm (6.58 inch) Full HD+ Display,Qualcomm Snapdragon 665 Processor,17990,21990,18,4.3
OPPO,OPPO A5s ,Blue,2,32,15.75 cm (6.2 inch) HD+ Display,MediaTek Helio P35 Processor,8990,12990,30,4.3
OPPO,OPPO A5s ,Black,2,32,15.75 cm (6.2 inch) HD+ Display,MediaTek Helio P35 Processor,8990,12990,30,4.3
OPPO,OPPO A5s ,Black,4,64,15.75 cm (6.2 inch) HD+ Display,MediaTek Helio P35 Processor,10990,15990,31,4.3
OPPO,OPPO A5s ,Blue,4,64,15.75 cm (6.2 inch) HD+ Display,MediaTek Helio P35 Processor,10990,15990,31,4.3
Realme,Realme C3 ,Frozen Blue,3,32,16.56 cm (6.52 inch) HD+ Display,Helio G70 Processor,8999,8999,0,4.4
Realme,Realme 6 ,Comet Blue,4,64,90 Hz Ultra Smooth Display,MediaTek Helio G90T Processor,13999,14999,6,4.4
OPPO,OPPO F17 Pro ,Metallic White,8,128,In-Display Fingerprint 3.0,MediaTek Helio P95 Processor,21490,25990,17,4.4
Redmi,Redmi 8A Dual ,Sea Blue,3,32,15.8 cm (6.22 inch) HD+ Display,Qualcomm Snapdragon 439 Processor,8999,8999,0,4.2
Apple,Apple iPhone XR ,Black,4,128,15.49 cm (6.1 inch) Display,A12 Bionic Chip Processor,49999,52900,5,4.6
Redmi,Redmi Note 9 ,Shadow Black,4,64,16.59 cm (6.53 inch) Full HD+ Display,MediaTek Helio G85 Processor,12729,13269,4,4.3
Apple,Apple iPhone XR ,,4,64,15.49 cm (6.1 inch) Display,A12 Bionic Chip Processor,44999,47900,6,4.6
Realme,Realme Narzo 10A ,So White,3,32,16.56 cm (6.52 inch) HD+ Display,MediaTek Helio G70 (12 nm) Processor,8999,9999,10,4.5
Redmi,Redmi 9 Prime ,Space Blue,4,128,16.59 cm (6.53 inch) Full HD+ Display,MediaTek Helio G80 Processor,11840,11840,0,4.4
Apple,Apple iPhone 11 ,Black,4,128,15.49 cm (6.1 inch) Liquid Retina HD Display,A13 Bionic Chip Processor,57999,59900,3,4.7
OPPO,OPPO A5s ,Gold,4,64,15.75 cm (6.2 inch) HD+ Display,MediaTek Helio P35 Processor,10990,15990,31,4.3
Redmi,Redmi 8A Dual ,Sea Blue,2,32,15.8 cm (6.22 inch) HD+ Display,Qualcomm Snapdragon 439 Processor,8469,8499,0,4.3
Redmi,Redmi Note 8 Pro ,Halo White,6,128,16.59 cm (6.53 inch) Full HD+ Display,MediaTek Helio G90T Processor,17999,17999,0,4.4
Tecno,Tecno Spark Go 2020 ,Ice jadeite,2,32,16.56 cm (6.52 inch) HD+ Display,MediaTek Helio A20 Quad Core Processor,6799,7999,15,4.4
Tecno,Tecno Spark Go 2020 ,Aqua Blue,2,32,16.56 cm (6.52 inch) HD+ Display,MediaTek Helio A20 Quad Core Processor,6799,7999,15,4.4
Realme,Realme C3 ,Volcano Grey,3,32,16.56 cm (6.52 inch) HD+ Display,Helio G70 Processor,8999,8999,0,4.4
