Brand,Model_name,Model_colour,RAM(GB),ROM(GB),Display,Processor,Current_price,Original_price,Discount(%),Rating
POCO,POCO X3 ,Cobalt Blue,8,128,16.94 cm (6.67 inch) Full HD+ Display,Qualcomm Snapdragon 732G Processor,19999,22999,13,4.3
Tecno,Tecno Spark Power 2 Air ,Ice Jadeite,3,32,17.78 cm (7 inch) HD+ Display,MediaTek Helio A22 Quad Core Processor,8499,9999,15,4.3
Realme,Realme 7 ,Mist Blue,8,128,16.51 cm (6.5 inch) Full HD+ Display,MediaTek Helio G95 Processor,16999,20999,19,4.3
POCO,POCO X2 ,Phoenix Red,6,128,16.94 cm (6.67 inch) Full HD+ Display,Qualcomm Snapdragon 730G Processor,15999,19999,20,4.5
Samsung,Samsung Galaxy F41 ,Fusion Green,6,128,Super AMOLED Display,Exynos 9611 Processor,16499,20999,21,4.3
Samsung,Samsung Galaxy F41 ,Fusion Black,6,128,Super AMOLED Display,Exynos 9611 Processor,16499,20999,21,4.3
POCO,POCO X3 ,Cobalt Blue,8,128,16.94 cm (6.67 inch) Full HD+ Display,Qualcomm Snapdragon 732G Processor,19999,22999,13,4.3
Tecno,Tecno Spark Power 2 Air ,Ice Jadeite,3,32,17.78 cm (7 inch) HD+ Display,MediaTek Helio A22 Quad Core Processor,8499,9999,15,4.3
POCO,POCO M2 Pro ,Out of the Blue,6,128,16.94 cm (6.67 inch) Full HD+ Display,Qualcomm Snapdragon 720G Processor,15999,19999,20,4.4
Google,Google Pixel 4a ,Just Black,6,128,OLED Display,Qualcomm Snapdragon 730G Processor,31999,31999,0,4.6
Realme,Realme 7 ,Mist White,6,64,16.51 cm (6.5 inch) Full HD+ Display,MediaTek Helio G95 Processor,14999,17999,16,4.3
Realme,Realme 7 ,Mist White,8,128,16.51 cm (6.5 inch) Full HD+ Display,MediaTek Helio G95 Processor,16999,20999,19,4.3
Motorola,Motorola G9 Power ,Metallic Sage,4,64,17.22 cm (6.78 inch) HD+ Display,Qualcomm Snapdragon 662 Processor,11999,15999,25,4.2
Realme,Realme 6i ,Eclipse Black,6,64,16.51 cm (6.5 inch) Full HD+ Display,MediaTek Helio G90T Processor,13999,15999,12,4.4
Gionee,Gionee Max ,Royal Blue,2,32,15.49 cm (6.1 inch) HD+ Display,Octa Core Processor,5999,7990,24,4.1
POCO,POCO M2 Pro ,Two Shades of Black,4,64,16.94 cm (6.67 inch) Full HD+ Display,Qualcomm Snapdragon 720G Processor,12999,16999,23,4.4
Realme,Realme C15 Qualcomm Edition ,Power Blue,4,64,16.56 cm (6.52 inch) HD+ Display,Qualcomm Snapdragon 460 Processor,10999,12999,15,4.3
Realme,Realme C15 Qualcomm Edition ,Power Blue,3,32,16.56 cm (6.52 inch) HD+ Display,Qualcomm Snapdragon 460 Processor,9999,11999,16,4.3
Realme,Realme C15 Qualcomm Edition ,Power Silver,4,64,16.56 cm (6.52 inch) HD+ Display,Qualcomm Snapdragon 460 Processor,10999,12999,15,4.3
POCO,POCO X2 ,Matrix Purple,6,64,16.94 cm (6.67 inch) Full HD+ Display,Qualcomm Snapdragon 730G Processor,14999,18999,21,4.5
Motorola,Motorola One Fusion+ ,Twilight Blue,6,128,16.51 cm (6.5 inch) Full HD+ Display,Qualcomm Snapdragon 730G Processor,17499,19999,12,4.4
POCO,POCO X3 ,Shadow Gray,6,128,16.94 cm (6.67 inch) Full HD+ Display,Qualcomm Snapdragon 732G Processor,17999,20999,14,4.3
Tecno,Tecno Spark Power 2 Air ,Cosmic Shine,3,32,17.78 cm (7 inch) HD+ Display,MediaTek Helio A22 Quad Core Processor,8499,9999,15,4.3
Samsung,Samsung Galaxy F41 ,Fusion Green,6,64,Super AMOLED Display,Exynos 9611 Processor,15499,19999,22,4.3
POCO,POCO X3 ,Cobalt Blue,6,64,16.94 cm (6.67 inch) Full HD+ Display,Qualcomm Snapdragon 732G Processor,16999,19999,15,4.3
Samsung,Samsung Galaxy F41 ,Fusion Black,6,64,Super AMOLED Display,Exynos 9611 Processor,15499,19999,22,4.3
Infinix,Infinix Hot 9 ,Violet,4,64,16.76 cm (6.6 inch) HD+ Display,MediaTek Helio P22 (64 bit) Processor,9499,11999,20,4.4
Infinix,Infinix Hot 9 ,Ocean Wave,4,64,16.76 cm (6.6 inch) HD+ Display,MediaTek Helio P22 (64 bit) Processor,9499,11999,20,4.4
Infinix,Infinix Hot 9 ,Quetzal Cyan,4,64,16.76 cm (6.6 inch) HD+ Display,MediaTek Helio P22 (64 bit) Processor,9499,11999,20,4.4
Samsung,Samsung Galaxy F41 ,Fusion Blue,6,128,Super AMOLED Display,Exynos 9611 Processor,16499,20999,21,4.3
Gionee,Gionee Max ,Black,2,32,15.49 cm (6.1 inch) HD+ Display,Octa Core Processor,5999,7990,24,4.1
Gionee,Gionee Max ,Red,2,32,15.49 cm (6.1 inch) HD+ Display,Octa Core Processor,5999,7990,24,4.1
Infinix,Infinix Note 7 ,Aether Black,4,64,17.65 cm (6.95 inch) HD+ Display,MediaTek Helio G70 Processor,10999,14999,26,4.3
Realme,Realme C15 Qualcomm Edition ,Power Silver,3,32,16.56 cm (6.52 inch) HD+ Display,Qualcomm Snapdragon 460 Processor,9999,11999,16,4.3
Redmi,Redmi 9i ,Midnight Black,4,128,16.59 cm (6.53 inch) HD+ Display,MediaTek Helio G25 Processor,9299,10999,15,4.3
Vivo,Vivo S1 Pro ,Dreamy White,8,128,16.21 cm (6.38 inch) Full HD+ Display,Qualcomm Snapdragon 665 Processor,18990,20990,9,4.4
Vivo,Vivo S1 Pro ,Mystic Black,8,128,16.21 cm (6.38 inch) Full HD+ Display,Qualcomm Snapdragon 665 Processor,18990,20990,9,4.4
Motorola,Motorola One Fusion+ ,Moonlight White,6,128,16.51 cm (6.5 inch) Full HD+ Display,Qualcomm Snapdragon 730G Processor,17499,19999,12,4.4
Vivo,Vivo Y50 ,Pearl White,8,128,16.59 cm (6.53 inch) Display,Qualcomm Snapdragon 665 Processor,16490,19990,17,4.4
Vivo,Vivo Y50 ,Iris Blue,8,128,16.59 cm (6.53 inch) Display,Qualcomm Snapdragon 665 Processor,16490,19990,17,4.4
Tecno,Tecno POVA ,Speed Purple,6,128,17.27 cm (6.8 inch) HD+ Display,MediaTek Helio G80 Processor,11999,13999,14,4.3
Redmi,Redmi 8A Dual ,Sky White,2,32,15.8 cm (6.22 inch) HD+ Display,Qualcomm Snapdragon 439 Processor,6999,8499,17,4.3
POCO,POCO M2 Pro ,Green and Greener,6,128,16.94 cm (6.67 inch) Full HD+ Display,Qualcomm Snapdragon 720G Processor,15999,19999,20,4.4
POCO,POCO X2 ,Atlantis Blue,6,128,16.94 cm (6.67 inch) Full HD+ Display,Qualcomm Snapdragon 730G Processor,15999,19999,20,4.5
Realme,Realme 6i ,Eclipse Black,4,64,16.51 cm (6.5 inch) Full HD+ Display,MediaTek Helio G90T Processor,12999,14999,13,4.4
POCO,POCO C3 ,Arctic Blue,4,64,16.59 cm (6.53 inch) HD+ Display,Mediatek Helio G35 Processor,8499,10999,22,4.3
Realme,Realme 6i ,Lunar White,4,64,16.51 cm (6.5 inch) Full HD+ Display,MediaTek Helio G90T Processor,12999,14999,13,4.4
Realme,Realme Narzo 10 ,That Green,4,128,16.51 cm (6.5 inch) HD+ Display,MediaTek Helio G80 (12 nm) Processor,11999,12999,7,4.5
Realme,Realme Narzo 10 ,That White,4,128,16.51 cm (6.5 inch) HD+ Display,MediaTek Helio G80 (12 nm) Processor,11999,12999,7,4.5
Infinix,Infinix Smart 4 ,Midnight Black,2,32,17.32 cm (6.82 inch) HD+ Display,MediaTek Helio A22 Processor,6999,8999,22,4.4
POCO,POCO M2 Pro ,Two Shades of Black,6,128,16.94 cm (6.67 inch) Full HD+ Display,Qualcomm Snapdragon 720G Processor,15999,19999,20,4.4
Redmi,Redmi 8A Dual ,Midnight Grey,2,32,15.8 cm (6.22 inch) HD+ Display,Qualcomm Snapdragon 439 Processor,6999,8499,17,4.3
Vivo,Vivo Y30 ,Emerald Black,6,128,16.43 cm (6.47 inch) HD+ Display,MediaTek Helio P35 Processor,14990,18990,21,4.3
OPPO,OPPO Reno2 F ,Lake Green,6,256,16.51 cm (6.5 inch) Display,MediaTek Helio P70 Processor,17990,19990,10,4.4
Realme,Realme 6 Pro ,Lightning Blue,8,128,Side Fingerprint Sensor | Dual In Display Selfie,Snapdragon 720G Processor,17999,19999,10,4.4
Realme,Realme C15 ,Power Silver,4,64,16.56 cm (6.52 inch) HD+ Display,Mediatek Helio G35 Processor,10999,12999,15,4.4
Realme,Realme 7 Pro ,Sun Kissed Leather,8,128,Super AMOLED Display,Qualcomm Snapdragon 720G Processor,21999,22999,4,4.4
Panasonic,Panasonic Eluga I7 ,Black,2,16,13.87 cm (5.46 inch) HD+ Display,MediaTek Quad Core Processor,5001,5001,0,3.7
Vivo,Vivo Y30 ,Emerald Black,4,128,16.43 cm (6.47 inch) HD+ Display,MediaTek Helio P35 Processor,13990,18990,26,4.3
Vivo,Vivo Y30 ,Dazzle Blue,4,128,16.43 cm (6.47 inch) HD+ Display,MediaTek Helio P35 Processor,13990,18990,26,4.3
Realme,Realme 6 Pro ,Lightning Orange,6,64,Side Fingerprint Sensor | Dual In Display Selfie,Snapdragon 720G Processor,15999,17999,11,4.4
